"S.N","Scheme Code","MSC_Primary","MSC_Secondary","WEP_Primary","WEP_Secondary","Vertical ","Title","Scheme Provider","Area Of Interest","Sector ","State","Eligibility","Link for enrollment","Link to scheme information","Link to government website","Details","Gender ","Implementing Agency","Target Audience",""
"11","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Agro-Forestry (Poplar ETP) Scheme","Department of Environment, Forest and Climate change","","Agri and allied activities","Bihar","Farmers/ entrepreneurs","NA","","https://state.bihar.gov.in/cache/36/Media%20Gallery/Scheme%20Info/kvetp1.pdf","Objective of the scheme: 1)To promote short-term commercial poplar plantation in farmers' fields.
2)Economic strengthening of the farmers of the state 3)Promotion of forest produce based industries.
4)Increasing greenery and purifying the environment
Benefits: 1. Poplar saplings from local nurseries of Environment, Forest and Climate Change Department are provided to the entrepreneurs/farmers/beneficiaries involved in the scheme in the month of December-January after obtaining a safe price of Rs.10. 2. Incentive money is also given to the farmers for the care of plants for 3 years.
3. After that, if there is more than 50 percent survival, Rs. 60 per plant incentive
4. There is a provision to pay the amount and the safe value of Rs.10. Plantation can be done at a distance of 3 m x 4 m or 3 m x 3 m all over the field or along with other crops or on the bund. Farmers can plant saplings as per their requirement and availability of land.
Farmer brothers will have full rights over the plants.
Land worth planting at least 100 saplings in the name of the applicant involved or on lease","B","","Entrepreneurs",""
"12","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Opportunity for farmer brothers to join Agro-forestry other species scheme","Department of Environment, Forest and Climate change","","Agri and allied activities","Bihar","Farmers/ entrepreneurs","NA","","https://state.bihar.gov.in/cache/36/Media%20Gallery/Scheme%20Info/krishivaniki%20_os.pdf","Objective: Economic reinforcement of the farmers of the state, increase in greenery through plantation in the state and environmental purification. Benefits of the plan: Department of Environment, Forest and Climate Change give the entrepreneurs / farmers / beneficiaries involved in the scheme a safe price of Rs 10 from local nurseries. Money is also given to the farmers for taking care of the plants. After 3 years, there is a provision to pay an incentive of Rs.60 per plant and Rs.10 as a safe price if there is more than 50% survival.
Priority in selection:
(i) Farmers willing to do plantation on 1.2 hectares minimum land (simultaneously). ii) The area of ​​land should be 2 hectares and (ii) already planted by the department, by mixing with the trees already planted, The land next to the plantation gone.
Eligibility to join the scheme Minimum 100 saplings land (private / leased).","B","","Entrepreneurs",""
"13","","Training/skilling","Mentoring/Networking","Business Development Services","","Business Development Services, ","Mukhyamantri Nari Shakti Yojna","Social welfare department","","All","Bihar","Adolecent girls and women","NA","https://state.bihar.gov.in/cache/39/Chhatra%20Yojna/Mukhyamantri%20Mahila%20Shashaktikaran%20Chatra%20Yojna/Mukhyamantri%20Nari%20Shakti%20Yojna.pdf","https://state.bihar.gov.in/socialwelfare/SectionInformation.html?editForm&rowId=2868","The objective of this scheme is to integrate social empowerment, cultural empowerment and ray related work related to the development of women. Also, Bihar State Women's Information and Resource Center operated for collection, training and dissemination of information related to women, for research and development related works.

Dev Rashi, under this scheme related to women, Mahayalai Guh, Defense Home Women's Cradle Home, Cultural Empowerment, Cultural Fair, and award for self-help groups for innovative works and for women employable in the service sector and for self-employment. The training function is to encourage innovative planning for research and new ideas in relation to one of them.","F","","Entrepreneurs",""
"14","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","Mukhyamantri Shram shakti Yojna","Minority Welfare Department","","All","Bihar","Minority students","NA","","https://state.bihar.gov.in/minoritywelfare/SectionInformation.html?editForm&rowId=3407","The objective of the Chief Minister Shram Shakti Yojana is to provide technical training to people belonging to the minority community Muslims using these skills in self-employment or employment anywhere.
Under Mukhyamantri Shram Shakti Yojana, Rs. 1500-2000 per month per person will be provided to the minority / Muslim artisans and literate labor to upgrade their skills.
After the training is over, they can get a loan of Rs 50,000 by the Bihar State Minority Finance Corporation for their self-employment.
Technical training for minority community / muslim laborers has been organized by Bihar State Minority Finance Corporation for 6 months.
Muslim women whose husbands or relatives have left them are entitled to get Rs 10,000 from the Bihar government.","B","","Entrepreneurs",""
"15","","Market linkages","Access to finance","Market Linkages","Funding","Market Linkages, Funding","Pasan silp common facility center Patharkatti Gaya","Department of Industries","","Manufacturing","Bihar","Local craftsmen","NA","","https://state.bihar.gov.in/cache/26/Schemes/Scheme-Info.pdf","Stone Craft Common Accessible Service Center, was built in 1985-86 at Gaya, in which idols and other items like pots, candle stands and incense sticks stand from stones imported from local and outside and other sculptures are made. This is a state government scheme. The goods made by the center are sold at market rates. It also provides employment to local craftsmen. The main objective of this scheme is to make the stone craftsmen employment-oriented by giving them adequate help and guidance. In addition,an International Trade Fair of India is also organized every year on 14-27 November under the Ministry of Commerce, Government of India.","B","","Entrepreneurs",""
"16","","Access to finance","NA","Funding","NA","Funding0","BICICO Equipment Finance Scheme","Bihar State Credit and Investment Corporation Limited","","Manufacturing","Bihar","Manufacturing units","Application form : http://www.bicico.com/contents/applicationform.doc","https://bicico.in/schemes.php","https://ideas.msme.gov.in/StateSchemes.aspx?fName=Bihar-16120.pdf&Mname=BIHAR","Term loan upto Rs.90 lakhs for acquisition of machineries/balancing equipments Interest rate 15.5% (PLR) Loan is repayable within 5 years.","B","NA","Enterprises",""
"17","","Access to finance","NA","Funding","NA","Funding0","BICICO Normal Term Loan","Bihar State Credit and Investment Corporation Limited","","Manufacturing","Bihar","Manufacturing units","Application form : http://www.bicico.com/contents/applicationform.doc","https://bicico.in/schemes.php","https://ideas.msme.gov.in/StateSchemes.aspx?fName=Bihar-16120.pdf&Mname=BIHAR","Provides financial assistance. Repayment period normally varies from 8 to 10 years. Interest rate 15.5% (PLR)","B","BICICO","Enterprises",""
"18","","Entrepreneurship Promotion","Training/skilling","Incubation and Acceleration","Business Development Services","Incubation and Acceleration, Business Development Services","Chief Minister SC/ST/OBC/Women/Young Entrepreneur Scheme","Bihar State Credit and Investment Corporation Limited","","Manufacturing","Bihar","Manufacturing units","NA","","https://udyami.bihar.gov.in/","The scheme provides 50 percent of the total project cost (per unit) to the young girls of the concerned field, up to a maximum of Rs 5,00,000 (five lakhs) interest free loan to be repaid in 7 years (84 equal installments)

50% of the sanctioned amount, up to a maximum of Rs 5,00,000 (five lakhs) will be given as a grant/subsidy under the special incentive scheme.

It also provides Rs 25,000 per unit for training of beneficiaries after selection

Under this scheme, benefit will be payable only for the establishment of new industries. The benefit of Bihar Industrial Investment Promotion Policy 2016 will also be payable to these units.","F","BICICO","Entrepreneurs",""
"19","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Backyard Poultry Unit Distribution Scheme","Livestock Development Department","","Agri and allied activities","Chattisgarh","Self-Help Group/ Gothan Implementation Committees/ NRLM in Gothan. Members of registered self -help groups/ milk cooperatives societies affiliated to Chattisgarh State Milk Cooperative Societies can be included.","NA","","https://agriportal.cg.nic.in/ahd/ahdHi/default.aspx","The aim of the scheme is 1.To introduce poor & small poultry farmers of the state with improved poultry & low input technology bird rearing. 2.To increase meat and egg production in the state. 3.To ensure the availability of nutritious food & financial growth of poultry farmers and their family.
Please refer to the link attached to learn about the benefits provided by the scheme.","B","","Entrepreneurs",""
"20","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Goat Unit Distribution Scheme on Grant","Livestock Development Department","","Agri and allied activities","Chattisgarh","Goat herders","NA","","https://agriportal.cg.nic.in/ahd/PDF_common/202122/targetforyear/7_2021_22_bakaravitranyojna.pdf","Objectives of the scheme are:-
1. Breed improvement of the local nondescript goat
2.To increase milk & meat production by breed improvement
3.To improve the financial condition of the beneficiary
4.To increase per capita meat availability
Present scenario-Presently the scheme is running with a unit cost of Rs. 3000, out of which 90% is government subsidy and 10% beneficiary contribution","B","","Entrepreneurs",""
"21","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Bull distribution scheme on 100% grant","Livestock Development Department","","Agri and allied activities","Chattisgarh","Farmers","NA","https://agriportal.cg.nic.in/ahd/PDF_common/202122/targetforyear/8_2021_22_saandvitranyojna.pdf","","Objectives of the scheme:-
1.To provide A.I. services in remote rural areas so that
breed improvement in these areas become possible.
2.To provide employment to Gosewak by distributing
bulls on subsidy on priority basis.
3.To increase milk production & financial condition
of the farmers by means of breed improvement.

Please refer to the link attached to learn about the benefits provided by the scheme.","B","","Entrepreneurs",""
"22","","Access to finance","NA","Funding","NA","Funding0","Loan scheme","Department of Women and Child Development","","All","Chattisgarh","WSHGs","NA","http://cgwcd.gov.in/%E0%A4%8B%E0%A4%A3-%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE","","To provide loans to women self-help groups on easy terms by Chhattisgarh Mahila Kosh with the objective of empowering women socially and financially in the state of Chhattisgarh.

Loan up to Rs. 50 thousand (recovered in 24 installments) in the first time and up to Rs. 2 lakh (recovered in 36 installments) is provided under the scheme at 3 per annum simple interest rate.","F","","Enterprises",""
"23","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","Self-reliance scheme","Department of Women and Child Development","","All","Chattisgarh","Skill training is provided to such women whose husband has died or unmarried women or legally divorced women in the age group of 35 to 45 years. Sexual harassment, HIV positive and third gender (Trans Gender) beneficiaries will also be eligible to take advantage of the scheme.","NA","","http://cgwcd.gov.in/%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B5%E0%A4%B2%E0%A4%82%E0%A4%AC%E0%A4%A8-%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE","Skill training is provided to such women whose husband has died or unmarried women or legally divorced women in the age group of 35 to 45 years. Sexual harassment, HIV positive and third gender (Trans Gender) beneficiaries will also be eligible to take advantage of the scheme.
All trainings under the scheme is given through Chief Minister Skill Development Scheme VTP.","F","","Entrepreneurs",""
"24","","Access to finance","NA","Funding","NA","Funding0","efficient planning","Department of Women and Child Development","","All","Chattisgarh","Women living under the poverty line in the state whose husband has died or unmarried women in the age group of 35 to 45 or legally divorced women. Sexual harassment, HIV positive and third gender (Trans Gender) beneficiaries will also be eligible to take advantage of the scheme.","NA","","http://cgwcd.gov.in/%E0%A4%B8%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%AE-%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE","Under this scheme, a loan upto Rs.1 lakh is provided on easy terms to start own business. The repayment of the said loan is done in installments in 5 years only at 6.5 percent simple interest rate.","F","","Enterprises",""
"25","","Training/skilling","NA","Business Development Services","NA","Business Development Services0","Prashikshan Yojna","Chattisgarh Handicraft Development Board","","Manufacturing","Chattisgarh","Short-term employed labourers of agriculture and non-agriculture sector, unemployed youth and girl","NA","","https://cghandicraft.cgstate.gov.in/sites/default/files/prashikskhan-yojna.pdf","Handicrafts Development Board aims to connect the traditional / non-traditional craftsmen of the state with short-term employed laborers of agriculture and non-agriculture sector and educated unemployed youth and girls through training in various crafts.
According to the new policy of the government, training is given for self-employment. The training should be of such a level that the craftsmen can be able to compete with their competitors in the open market. For this, various levels of training programs are organized for the craftsmen in different schemes to make the training more effective.","B","","Entrepreneurs",""
"26","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Avjar-karmshala yojna","Chattisgarh Handicraft Development Board","","Manufacturing","Chattisgarh","Traditional and trained handicraftsmen","NA","","https://cghandicraft.cgstate.gov.in/sites/default/files/avjar-karmshala-yojna.pdf","For setting up self-employment for traditional and trained handicraftsmen, a grant amount of up to Rs. 5000 for Tool equipment and workshop construction grant assistance up to Rs.10000 is provided. There is a facility of 75 percent grant for the craftsmen of backward / general classes and 100 percent grant for the craftsmen of the scheduled caste/tribe.","B","","Entrepreneurs",""
"27","","Access to business support services","NA","Business Development Services","NA","Business Development Services0","Sahkari Samiti Arthik Sahayta","Chattisgarh Handicraft Development Board","","Manufacturing","Chattisgarh","Cooperative societies","NA","","https://cghandicraft.cgstate.gov.in/sites/default/files/sahkari-samiti-arthik-sahayta.pdf","The objective of the scheme is to provide financial assistance to the registered cooperative societies/trusts working in the field of handicrafts, for the fulfillment of working capital, workshop construction, advanced tool equipment, raw material purchase and other requirements. Financial assistance is provided up to a maximum amount of Rs.25000.","B","","Enterprises",""
"28","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Start-up policy (2019-2024)","Department of Commerce & Industries","","All","Chattisgarh","Start-ups","NA","","https://industries.cg.gov.in/startupcg/pdf/startup%20package%202019-24.pdf","The definition of Startup will be valid as notified by the Department for Promotion of Industry and Internal Trade, Ministry of Commerce and Industry, Government of India on 19th February 2019. Accordingly, a unit/unit will be considered as a startup as follows -
(a) for a period of 10 years from the date of its incorporation/registration, if it is incorporated in India as a private limited company (as defined in the Companies Act 2013) or a partner firm (under section 59 of the Partners Act 1932) Registered) or registered as a Limited Liability Partnership (under the Limited Liability Partnership Act 2008).
(b) of the unit/unit in any financial year from the time of incorporation/registration
The total turnover should not exceed Rs.100 crore. If it is working in relation to innovation, development or improvement of products or processes or services or it is a scalable business model with high potential for job creation or wealth creation. The policy provides multiple fiancial and non financial incentives. Please refer to the link of the PDF to learn more.","B","","Enterprises",""
"29","","Entrepreneurship Promotion","Access to business support services","Incubation and Acceleration","Business Development Services","Incubation and Acceleration, Business Development Services","Udyam Aakanksha","Department of Commerce & Industries","","All","Chattisgarh","Investors","NA","","https://industries.cg.gov.in/Udtank_total_info.aspx","The scheme would facilitate free online registration and self-certification to the investors interested in investment on micro, small and medium enterprises and service businesses","B","","Third Parties",""
"30","","Access to finance","NA","Funding","NA","Funding0","Financial assistance towards and for the purpose of setting up of large and small sized retail outlets","Cooperative Societies","","All","Goa","Cooperative societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT47","The Primary Agricultural Credit Co-operative Societies/Taluka Farmers Service Co-op. Societies/ Marketing Co-op. Societies/Consumer Co-op. Societies/ Processing Co-op. Societies. Large sized and small sized retail outlets with self service counter can be setup in any town, city or in a village according to the needs, The pattern of financial assistance will be Loan, Subsidy, Share Capital and Managerial Subsidy","B","","Enterprises",""
"31","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","Financial Assistance for the purpose of Business Development Planning Programme for societies having credit counter.","Cooperative Societies","","All","Goa","Cooperative societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT48","Financial assistance towards and for the purpose of Business Development Planning Programme for Societies having Credit Counters shall be provided to eligible Co-operative Societies as per details provided. The Primary Agricultural Credit Co-operative Societies/Taluka Farmers Service Co-op. Societies. Share Capital Contribution of Rs. 50,000/- shall be provided towards working capital requirement for undertaking Business Development Planning Programme. Subsidy @ Rs.50,000/- per extension counters for creation of infrastructure shall be provided. The above assistance shall be subject to following conditions The Society shall implement the Business Development Planning Programme by undertaking activities of opening of new extension counters for mobilization of deposits. The assistance will be provided once only.","B","","Enterprises",""
"32","","Access to finance","Entrepreneurship Promotion","Funding","Incubation and Acceleration","Funding, Incubation and Acceleration","Financial Incentives on completion of 50 years","Cooperative Societies","","All","Goa","Cooperative societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT50","The Primary Agricultural Credit/Consumer/Taluka Farmers/Processing and Marketing Cooperative Societies can avail financial incentive of Rs.2.00 lakhs at once on completion of 50 years in existence and presently functioning.","B","","Enterprises",""
"33","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","Loan cum subsidy for construction of godown","Cooperative Societies","","All","Goa","Cooperative societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT51","Following are the benefits of the scheme:(i) 50% loan and 50% subsidy of the total estimated cost approved by the Public Works Department. (ii) The society who are having minimum 15% shareholders of ST and SC shall be eligible for 35% loan and 65% subsidy of the total estimated cost approved by the P.W.D. Dairy Cooperative Societies (i) The Dairy Cooperative Societies can avail 50% loan and 50% subsidy for construction of godown cum office building/purchase of outright built up premises for godown-cum office building extention /repair and renovation of the own godown cum office building on the estimated cost approved by the P.W.D.subject to maximum of Rs.12.00 lakhs or the estimated cost approved by P.S.D. whichever is lower. (ii) The Dairy Cooperative Societies who are having 15% shareholders as ST and SC as the case may be, shall be considered as TSP and SCSP Dairy Cooperative Societies and eligible for 35% loan and 65% subsidy of the total estimated cost approved by P.W.D. whichever is lower. The Dairy coop. Soceiteis who are having 70% or more members as ST and SC as the case may be considered as TSP and SCSP Dairy Coop. Societeis and eligible for 10% loan and 90% subsidy of the total estimated cost approved by the PWD Subject maximum of Rs.12.00 lakhs or estimated cost approved by PWD whichever is lower.","B","","Enterprises",""
"34","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Managerial Subsidy to Dairy/Industrial Coop. Societies","Cooperative Societies","","All","Goa","Dairy/industrial cooperative societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT52","Rs.25000 will be provided for newly registered society for initial expenses of salary, wages etc. This is admissible only at once.","B","","Enterprises",""
"35","","Access to finance","Access to business support services","Funding","Business Development Services","Funding, Business Development Services","One Time Grant to Womens Self Help Group","Cooperative Societies","","All","Goa","Women SHGs","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT53","The Womens Self Help Group Cooperative Societies can avail financial assistance in the form of One Time Grant of Rs.20000/- for financial upliftment and business related activities.","F","","Enterprises",""
"36","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Purchase of Transport Vehicle","Cooperative Societies","","All","Goa","Cooperative societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT54","The Primary Agricultural Credit Co-operative Societies/Taluka Farmers Service Co-op. Societies/ Marketing Co-op. Societies/Consumer Co-op. Societies/ Processing Co-op. Societies can avail the financial assistance in the form of a 50 percent loan, 30 percent subsidy and 20 percent Societies Share on the ex-showroom price of the vehicle shall be granted. The loan should be repayable in seven equal annual installments with accrued interest.","B","","Enterprises",""
"37","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Computerization","Cooperative Societies","","Agri and allied activities","Goa","Primary Agricultural Cooperative Societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT55","Primary Agricultural Cooperative Societies having 3 or less branches/extensions counters can avail financial support in the form of loan and subsidy up to maximum of Rs. 1,00,000/- being 50 percentage loan and 50 percentage subsidy per society. And the society having more then 3 branches/extension counters can avail financial support in the form of loan and subsidy up to maximum of Rs. 2,00,000/- being 50 percentage loan and 50 percentage subsidy per society for computerization of records.","B","","Enterprises",""
"38","","Access to business support services","Access to finance","Business Development Services","Funding","Business Development Services, Funding","Computer and Accessories","Cooperative Societies","","All","Goa","Cooperative societies","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT56","Taluka Farmers/Marketing/Consumers/Processing /Dairy Cooperative societies can avail loan and subsidy on computer accessories up to 1)Rs. 2,00,000/- being 50 percent loan and 50 percent subsidy considering the number of branches ii)35 percent loan and 65 percent subsidy up to maximum Rs. 2,00,000/- who are having minimum 40 percent SC/ST as share holders.","B","","Enterprises",""
"39","","Access to finance","NA","Funding","NA","Funding0","Scheme to provide financial assistance to the Publishers for publishing books of Goan Authors","Department of Art and Culture","","Manufacturing","Goa","Goan publisher","NA","","https://goaonline.gov.in/appln/uil/deptservices?__DocId=IFT&__ServiceId=IFT57","Any Goan publisher is eligible for the scheme provided the writer of the book is Goan. ii) Applicant should have substantial experience in publication. iii) Publisher should publish minimum of 500 copies of the book for which he want to avail the financial assistance. iv) The book could be published bythe author himself or published by any other publishing unit. v) No anthology/compilation shall be considered. vi) The book should contain 100 percent originality, works of translation will not be considered. vii) No grants should be given for printing ofthe second edition. viii) The printing and paper of the book shouldbe off good quality and standard. ix) The financial assistance will be given to the author if he is self - publisher of the book or else assistance will be given to the publisher provided he submits the NOC of the writer. x) ) If the author is applying for the book published by any other publisher, then NOC from the publisher should be produced at the time of submitting the application of this scheme. xi) Person who has lived in Goa for minimum 10 years of his creative lifespan, will be treated as Goan for the purpose of this scheme.","B","","Enterprises",""
